"Name","Status","StartType","DisplayName"
"MDCoreSvc","Running","Automatic","Servicio principal de Microsoft Defender"
"MessagingService_6b56362","Stopped","Manual","MessagingService_6b56362"
"MicrosoftEdgeElevationService","Stopped","Manual","Microsoft Edge Elevation Service (MicrosoftEdgeElevationService)"
"MixedRealityOpenXRSvc","Stopped","Manual","Windows Mixed Reality OpenXR Service"
"mpssvc","Running","Automatic","Firewall de Windows Defender"
"MSDTC","Stopped","Manual","Coordinador de transacciones distribuidas"
"MSiSCSI","Stopped","Manual","Servicio del iniciador iSCSI de Microsoft"
"msiserver","Stopped","Manual","Windows Installer"
"MsKeyboardFilter","Stopped","Disabled","Filtro de teclado de Microsoft"
"MySQL80","Running","Automatic","MySQL80"
"NaturalAuthentication","Stopped","Manual","Autenticación natural"
"NcaSvc","Stopped","Manual","Asistente para la conectividad de red"
"NcbService","Running","Manual","Agente de conexión de red"
"NcdAutoSetup","Stopped","Manual","Configuración automática de dispositivos conectados a la red"
"Netlogon","Stopped","Manual","Net Logon"
"Netman","Running","Manual","Conexiones de red"
"netprofm","Running","Manual","Servicio de lista de redes"
"NetSetupSvc","Stopped","Manual","Servicio de configuración de red"
"NetTcpPortSharing","Stopped","Disabled","Servicio de uso compartido de puertos Net.Tcp"
"NgcCtnrSvc","Stopped","Manual","Contenedor de Microsoft Passport"
"NgcSvc","Stopped","Manual","Microsoft Passport"
"NlaSvc","Stopped","Manual","Reconocimiento de ubicación de red"
"NPSMSvc_6b56362","Running","Manual","NPSMSvc_6b56362"
"nsi","Running","Automatic","Servicio Interfaz de almacenamiento en red"
"nvagent","Running","Manual","Servicio de virtualización de red"
"OneDrive Updater Service","Stopped","Manual","OneDrive Updater Service"
"OneSyncSvc_6b56362","Running","Automatic","Sincronizar host_6b56362"
"OverwolfUpdater","Stopped","Manual","Overwolf Updater Windows SCM"
"p2pimsvc","Stopped","Manual","Administrador de identidad de redes de mismo nivel"
"p2psvc","Stopped","Manual","Agrupación de red del mismo nivel"
"P9RdrService_6b56362","Stopped","Manual","P9RdrService_6b56362"
"PcaSvc","Running","Automatic","Servicio Asistente para la compatibilidad de programas"
"PeerDistSvc","Stopped","Manual","BranchCache"
"PenService_6b56362","Stopped","Manual","PenService_6b56362"
"perceptionsimulation","Stopped","Manual","Servicio de simulación de percepción de Windows"
"PerfHost","Stopped","Manual","DLL de host del Contador de rendimiento"
"PhoneSvc","Running","Manual","Servicio telefónico"
"PimIndexMaintenanceSvc_6b56362","Running","Manual","Datos de los contactos_6b56362"
"pla","Stopped","Manual","Registros y alertas de rendimiento"
"PlugPlay","Running","Manual","Plug and Play"
"PNRPAutoReg","Stopped","Manual","Servicio de publicación de nombres de equipo PNRP"
"PNRPsvc","Stopped","Manual","Protocolo de resolución de nombres de mismo nivel"
"PolicyAgent","Running","Manual","Agente de directiva IPsec"
"Power","Running","Automatic","Energía"
"PrintNotify","Stopped","Manual","Extensiones y notificaciones de impresora"
"PrintWorkflowUserSvc_6b56362","Running","Manual","PrintWorkflow_6b56362"
"ProfSvc","Running","Automatic","Servicio de perfil de usuario"
"PushToInstall","Stopped","Manual","Servicio PushToInstall de Windows"
"QWAVE","Running","Manual","Experiencia de calidad de audio y vídeo de Windows (qWave)"
"RasAuto","Stopped","Manual","Administrador de conexiones automáticas de acceso remoto"
"RasMan","Running","Manual","Administrador de conexiones de acceso remoto"
"RemoteAccess","Stopped","Disabled","Enrutamiento y acceso remoto"
"RemoteRegistry","Stopped","Disabled","Registro remoto"
"RetailDemo","Stopped","Manual","Servicio de prueba comercial"
"RmSvc","Running","Manual","Servicio de administración de radio"
"RpcEptMapper","Running","Automatic","Asignador de extremos de RPC"
"RpcLocator","Stopped","Manual","Ubicador de llamada a procedimiento remoto (RPC)"
"RpcSs","Running","Automatic","Llamada a procedimiento remoto (RPC)"
"RstMwService","Running","Automatic","RstMwService"
"SamSs","Running","Automatic","Administrador de cuentas de seguridad"
"SCardSvr","Stopped","Manual","Tarjeta inteligente"
"ScDeviceEnum","Stopped","Manual","Smart Card Device Enumeration Service"
"Schedule","Running","Automatic","Programador de tareas"
"SCPolicySvc","Stopped","Manual","Directiva de extracción de tarjetas inteligentes"
"SDRSVC","Stopped","Manual","Windows Backup"
"seclogon","Stopped","Manual","Inicio de sesión secundario"
"SecurityHealthService","Running","Manual","Servicio de seguridad de Windows"
"SEMgrSvc","Stopped","Manual","Payments and NFC/SE Manager"
"SENS","Running","Automatic","Servicio de notificación de eventos de sistema"
"Sense","Stopped","Manual","Servicio Protección contra amenazas avanzada de Windows Defender"
"SensorDataService","Stopped","Manual","Servicio de datos del sensor"
"SensorService","Stopped","Manual","Sensor Service"
"SensrSvc","Stopped","Manual","Servicio de supervisión de sensores"
"SessionEnv","Stopped","Manual","Configuración de Escritorio remoto"
"SgrmBroker","Stopped","Disabled","Agente de supervisión en tiempo de ejecución de Protección del sistema"
"SharedAccess","Running","Manual","Conexión compartida a Internet (ICS)"
"SharedRealitySvc","Stopped","Manual","Spatial Data Service"
"ShellHWDetection","Running","Automatic","Detección de hardware shell"
"shpamsvc","Stopped","Disabled","Shared PC Account Manager"
"smphost","Stopped","Manual","Microsoft Storage Spaces SMP"
"SmsRouter","Stopped","Manual","Servicio enrutador de SMS de Microsoft Windows."
"SNMPTrap","Stopped","Manual","Captura de SNMP"
"spectrum","Stopped","Manual","Windows Perception Service"
"Spooler","Running","Automatic","Cola de impresión"
"sppsvc","Stopped","Automatic","Protección de software"
"SSDPSRV","Running","Manual","Detección SSDP"
"ssh-agent","Stopped","Disabled","OpenSSH Authentication Agent"
"SstpSvc","Running","Manual","Servicio de protocolo de túnel de sockets seguros"
"StateRepository","Running","Automatic","Servicio de repositorio de estado"
